time_pst,p_co2_in_water_ppm,water_level_m_navd88,temp_deg_c,windspeed_avg_m_s,doy,month,hour,white_noise
2023-08-30T15:00:00Z,547.41705,-0.3030265999999999,12.7913,2.579,242,8,15,-0.46674246046851
2023-08-30T18:00:00Z,535.7804,-0.6013266000000002,12.9984,1.202,242,8,18,0.4496995533674721
2023-08-30T21:00:00Z,681.799,1.0106534000000005,11.6202,2.22,242,8,21,0.12346119446986702
2023-08-31T00:00:00Z,328.71585,2.0368934000000003,13.8632,0.064,243,8,0,1.4098721154277265
2023-08-31T03:00:00Z,243.21466,1.5644734000000002,13.9074,1.118,243,8,3,-0.2779072484336691
2023-08-31T06:00:00Z,447.7324,1.3012434000000002,13.1616,0,243,8,6,-1.6214050730654541
2023-08-31T09:00:00Z,848.9547,1.9401034000000004,10.9615,1.529,243,8,9,-1.0663116157315187
2023-08-31T12:00:00Z,357.00812,1.7492234000000002,13.0919,0.086,243,8,12,-0.6107508105580337
2023-08-31T15:00:00Z,427.88068,0.2745434000000002,13.1213,0.673,243,8,15,0.3553971892250584
2023-08-31T18:00:00Z,511.20657,-0.6228965999999998,12.8306,1.83,243,8,18,0.023683061946797118
2023-08-31T21:00:00Z,665.1965,0.7549634000000003,11.708,1.291,243,8,21,-0.6865185402716892
2023-09-01T00:00:00Z,739.89276,2.1716434,11.2655,1.809,244,9,0,0.4686398213124168
2023-09-01T03:00:00Z,519.82806,1.6408934000000004,12.5734,0.791,244,9,3,-1.3513439741493047
2023-09-01T06:00:00Z,662.1803,0.8782434000000001,12.4752,1.233,244,9,6,0.5044956137810441
2023-09-01T09:00:00Z,870.0592,1.5596734000000003,10.7656,0.605,244,9,9,0.0027445798986022642
2023-09-01T12:00:00Z,425.60257,1.9155734,12.2906,1.039,244,9,12,1.660712348017933
2023-09-01T15:00:00Z,612.2047,0.8130534000000003,12.3949,1.72,244,9,15,0.2911264990464829
2023-09-01T18:00:00Z,583.1912,-0.3998466000000001,12.5962,3.525,244,9,18,0.3656552078252129
2023-09-01T21:00:00Z,706.73755,0.5869634000000001,11.5677,4.452,244,9,21,1.8881775576499396
2023-09-02T00:00:00Z,795.9356,2.1312034000000004,11.1029,0.508,245,9,0,-0.42421743558295516
2023-09-02T03:00:00Z,353.7593,1.7044434000000002,13.4251,1.497,245,9,3,-0.9474608563833682
2023-09-02T06:00:00Z,506.27704,0.5949734000000002,12.7411,0.993,245,9,6,1.400349799668893
2023-09-02T09:00:00Z,873.72455,0.9911834000000002,10.7128,1.615,245,9,9,2.100304000537097
2023-09-02T12:00:00Z,890.0122,1.7972834000000002,10.9793,0.224,245,9,12,2.075369293306836
2023-09-02T15:00:00Z,440.2121,1.1927734,12.7285,0.558,245,9,15,0.025068861339766824
2023-09-02T18:00:00Z,471.98624,0.04581340000000011,12.8877,3.134,245,9,18,-1.0401468242927243
2023-09-02T21:00:00Z,779.31006,0.6083334000000002,11.2269,0.219,245,9,21,-0.3108865781686269
2023-09-03T00:00:00Z,817.23755,2.0390734000000004,10.9633,0.372,246,9,0,-0.48322414346578757
2023-09-03T03:00:00Z,509.93744,1.8574334000000003,12.6513,0.036,246,9,3,0.08225170461856887
2023-09-03T06:00:00Z,358.56448,0.5825934000000004,13.1501,1.72,246,9,6,0.7997057401857687
2023-09-03T09:00:00Z,810.0515,0.4528234000000002,11.9862,0.77,246,9,9,0.9923966304869055
2023-09-03T12:00:00Z,899.3781,1.4263234000000002,10.9308,1.306,246,9,12,-1.1559976764973359
2023-09-03T15:00:00Z,431.60394,1.4586134000000004,12.5775,1.474,246,9,15,0.9480586781999149
2023-09-03T18:00:00Z,341.41107,0.6931534000000004,13.5475,1.502,246,9,18,-0.45901741647449656
2023-09-03T21:00:00Z,732.6449,0.7677934000000004,11.6635,1.724,246,9,21,0.06636250776550398
2023-09-04T00:00:00Z,834.51996,1.8856834,10.943,1.555,247,9,0,0.6782379460668747
